Timestamp,"What is your RSN? 
You must be in Tectonic to participate",What is your Discord name?,"Are you playing on a main or an ironman? 
(Please note you may only play from one account)","Are you interested in being a team captain? Captains get to pick a guaranteed +1 (co-captain) ahead of the draft & get bonus points at the end of the game.
Team captains will be responsible for choosing their teammates in a live draft. (The draft will take place sometime between July 24th  - July 28th; Time tbd based on availability of all captains) ","If you selected yes to team captain, who would you like your co-captain to be? If you're undecided on your co-captain, write ""TBD"" in this field and DM Jedi as soon as you figure it out.",What time zone and/or country are you in?,"Approximately how much time will you play?
(Please note: we know you can't always predict what life/work/etc will throw at you. Just answer to the best of your current knowledge.)",What is the Combat Achievement status of the account you're playing on? ,"If you have a CA status that is higher on another account, please put that here:",What is your slayer level?,"Please check all bosses that you feel comfortable/confident in!
(not a requirement to play! Just for team picking purposes)"
,509DarkTheme,Zewwm,Ironman Account,No,,UK/EU,I wiI go hard first few days but I leave for a music festival on 5th August and will be out from then onward.,Master,GM on main,89,"Theatre of Blood, Hard Mode TOB, Chambers of Xeric, Challenge Mode Chambers, Expert Tombs of Amascut, Small team Nex, Corrupted Gauntlet, Inferno, Colosseum, Doom of Mokhaiotl"
7/12/2026 21:27:44,akirat,eroooooo,Main Account,No,,Canada EST,a few hours throughout the week,Elite,,97ish,"Theatre of Blood, Hard Mode TOB, Chambers of Xeric, Challenge Mode Chambers, Expert Tombs of Amascut, Small team Nex, Phosani's Nightmare"
7/12/2026 20:52:37,Axei0333,Axel0333,Ironman Account,No,,Eastern (idk gmt im dumb),"I can play more evening times during weekdays for about 2-3 weeks, then itll be a little less actual playtime. Can do super chill grinds sometimes while i wfh.",Elite,,99,"Theatre of Blood, Chambers of Xeric, Small team Nex, Phosani's Nightmare, Corrupted Gauntlet"
7/12/2026 15:55:55,BackintheOSR,BackintheOSR,Main Account,No,,UK - BST,a few hours every day,Master,,99,"Theatre of Blood, Chambers of Xeric, Challenge Mode Chambers, Expert Tombs of Amascut, Small team Nex, Phosani's Nightmare, Corrupted Gauntlet, Doom of Mokhaiotl"
7/12/2026 22:04:47,blondies,buhhreeto,Main Account,If you don't have enough volunteers,,central time zone and US,a few hours every day,hard,,93,"Chambers of Xeric, Challenge Mode Chambers, Expert Tombs of Amascut, Small team Nex"
7/12/2026 22:06:04,Boater Lad,Boater Lad,Ironman Account,No,,MST,a few hours every day,Master,N/A,99,"Theatre of Blood, Chambers of Xeric, Challenge Mode Chambers, Expert Tombs of Amascut, Small team Nex, Phosani's Nightmare, Corrupted Gauntlet, Inferno, Colosseum, Doom of Mokhaiotl"